
	     TANUM	TAPOS	VLTYP	VLENR	NLTYP	NLENR	       CONFIRMED_AT
	7000000013	 0007	LMWE	00000000000014260096			20.151.201.210.549
	7000000013	 0008	LMWE	00000000000014260097			20.151.201.210.549
	7000000013	 0009	LMWE	00000000000014260098			20.151.201.210.549
	7000000013	 0010	LMWE	00000000000014260099			20.151.201.210.549
	7000000013	 0011	LMWE	00000000000014260100			20.151.201.210.549
	7000000013	 0012	LMWE	00000000000014260101			20.151.201.210.549
	7000000013	 0013	LMWE	00000000000014260102			20.151.201.210.549
	7000000013	 0014	LMWE	00000000000014260103			20.151.201.210.549
	7000000013	 0015	LMWE	00000000000014260104			20.151.201.210.549
	7000000013	 0016	LMWE	00000000000014260105			20.151.201.210.549
	7000000013	 0017	LMWE	00000000000014260106			20.151.201.210.549
	7000000013	 0018	LMWE	00000000000014260107			20.151.201.210.549
	7000000013	 0019	LMWE	00000000000014260108			20.151.201.210.549
	7000000013	 0020	LMWE	00000000000014260109			20.151.201.210.549
	7000000013	 0021	LMWE	00000000000014260110			20.151.201.210.549
	7000000013	 0022	LMWE	00000000000014260111			20.151.201.210.549
	7000000013	 0023	LMWE	00000000000014260112			20.151.201.210.549
	7000000013	 0024	LMWE	00000000000014260113			20.151.201.210.549
	7000000013	 0025	LMWE	00000000000014260114			20.151.201.210.549
	7000000013	 0026	LMWE	00000000000014260115			20.151.201.210.549
	7000000013	 0027	LMWE	00000000000014260116			20.151.201.210.549
	7000000013	 0028	LMWE	00000000000014260117			20.151.201.210.549
	7000000013	 0029	LMWE	00000000000014260118			20.151.201.210.549
	7000000013	 0030	LMWE	00000000000014260119			20.151.201.210.549
	7000000013	 0031	LMWE	00000000000014260120			20.151.201.210.549
	7000000013	 0032	LMWE	00000000000014260121			20.151.201.210.549
	7000000013	 0033	LMWE	00000000000014260122			20.151.201.210.549
	7000000013	 0034	LMWE	00000000000014260123			20.151.201.210.549
	7000000013	 0035	LMWE	00000000000014260124			20.151.201.210.549
	7000000013	 0036	LMWE	00000000000014260125			20.151.201.210.549
	7000000013	 0037	LMWE	00000000000014260126			20.151.201.210.549
	7000000015	 0001			LMWE	00000000000014260090	20.151.201.222.655
	7000000015	 0002			LMWE	00000000000014260091	20.151.201.222.655
	7000000015	 0003			LMWE	00000000000014260092	20.151.201.222.655
	7000000015	 0004			LMWE	00000000000014260093	20.151.201.222.655
	7000000015	 0005			LMWE	00000000000014260094	20.151.201.222.655
	7000000015	 0006			LMWE	00000000000014260095	20.151.201.222.655
	7000000015	 0007			LMWE	00000000000014260096	20.151.201.222.655
	7000000015	 0008			LMWE	00000000000014260097	20.151.201.222.655
	7000000015	 0009			LMWE	00000000000014260098	20.151.201.222.655
	7000000015	 0010			LMWE	00000000000014260099	20.151.201.222.655
	7000000015	 0011			LMWE	00000000000014260100	20.151.201.222.655
	7000000015	 0012			LMWE	00000000000014260101	20.151.201.222.655
	7000000015	 0013			LMWE	00000000000014260102	20.151.201.222.655
	7000000015	 0014			LMWE	00000000000014260103	20.151.201.222.655
	7000000015	 0015			LMWE	00000000000014260104	20.151.201.222.655
	7000000015	 0016			LMWE	00000000000014260105	20.151.201.222.655
	7000000015	 0017			LMWE	00000000000014260106	20.151.201.222.655
	7000000015	 0018			LMWE	00000000000014260107	20.151.201.222.655
	7000000015	 0019			LMWE	00000000000014260108	20.151.201.222.655
	7000000015	 0020			LMWE	00000000000014260109	20.151.201.222.655
	7000000015	 0021			LMWE	00000000000014260110	20.151.201.222.655
	7000000015	 0022			LMWE	00000000000014260111	20.151.201.222.655
	7000000015	 0023			LMWE	00000000000014260112	20.151.201.222.655
	7000000015	 0024			LMWE	00000000000014260113	20.151.201.222.655
	7000000015	 0025			LMWE	00000000000014260114	20.151.201.222.655
