INDEX,CHNGID,RECORDTP,REQUID,WM_COUNT2,/BIC/G0WM_TU_N,CALWEEK,/BIC/GEWLSTAT,CALDAY,CALMONTH,CALYEAR,WEEKDAY1,WM_MATNR,WM_LICNUM,WM_VLTYP,WM_NLTYP,WM_VLPLA,/BIC/GEWVOND,/BIC/GEWVONZ,/BIC/GEWKPI,WM_NLENR,/BIC/GEWZEITD,/BIC/GEWBISD,/BIC/GEWBISZ,/BIC/GEWERSTAT,RECORD
63,0,0,,1,000000200000000016,201546,ST80,2015-11-13,201511,2015,5,06F141015,,,,,,00:00:00,KPI51,00000000000013939143,0,,00:00:00,3,63
64,0,0,,1,000000200000000009,201547,,2015-11-17,201511,2015,2,03C105266F,,,,,2015-11-17,08:34:36,KPI3,00000000000013939010,20151117082027,2015-11-17,09:20:27,,64
65,0,0,,1,000000200000000009,201548,,2015-11-24,201511,2015,2,03C105266F,,,,,2015-11-17,09:20:27,KPI4,00000000000013939010,20151124134029,2015-11-24,14:40:29,,65
66,0,0,,1,000000200000000009,201548,,2015-11-24,201511,2015,2,03C105266F,,,,,2015-11-24,14:40:29,KPI5,00000000000013939010,20151124140214,2015-11-24,15:02:14,,66
67,0,0,,1,000000200000000084,201548,,2015-11-24,201511,2015,2,03C105266F,LKW001,,,,2015-11-17,11:03:29,KPI3,00000000000013939011,20151124123848,2015-11-24,13:38:48,,67
68,0,0,,1,000000200000000084,201548,,2015-11-24,201511,2015,2,03C105266F,LKW001,,,,2015-11-24,13:38:48,KPI4,00000000000013939011,20151124123932,2015-11-24,13:39:32,,68
69,0,0,,1,000000200000000084,201548,,2015-11-24,201511,2015,2,03C105266F,LKW001,,,,2015-11-24,13:39:32,KPI5,00000000000013939011,20151124123934,2015-11-24,13:39:34,,69
70,0,0,,1,000000200000000089,201548,,2015-11-24,201511,2015,2,04L103023C,LKW001,,,,2015-11-17,15:00:24,KPI3,00000000000013939322,20151124125203,2015-11-24,13:52:03,,70
71,0,0,,1,000000200000000089,201548,,2015-11-24,201511,2015,2,04L103023C,LKW001,,,,2015-11-24,13:52:03,KPI4,00000000000013939322,20151124140432,2015-11-24,15:04:32,,71
72,0,0,,1,000000200000000089,201548,,2015-11-24,201511,2015,2,04L103023C,LKW001,,,,2015-11-24,15:04:32,KPI5,00000000000013939322,20151124140455,2015-11-24,15:04:55,,72
